Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,Prof_Cat
First Class,Corporate,Miami,Florida,South,Technology,Phones,783.96,5,0.2,78.4,FL,Profit
First Class,Consumer,Salem,Oregon,West,Office Supplies,Art,7.88,1,0.2,1.77,OR,Profit
Standard Class,Consumer,Las Cruces,New Mexico,West,Furniture,Furnishings,41.37,3,0.0,17.38,NM,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,12.84,3,0.0,5.78,CA,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,25.68,6,0.0,11.56,CA,Profit
Standard Class,Consumer,El Paso,Texas,Central,Furniture,Chairs,47.52,2,0.3,-2.04,TX,Loss
Second Class,Consumer,Seattle,Washington,West,Office Supplies,Fasteners,9.42,2,0.0,0.47,WA,Profit
Second Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,12.96,2,0.0,6.22,WA,Profit
Second Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,704.9,5,0.0,56.39,WA,Profit
Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,561.57,2,0.2,28.08,WA,Profit
Second Class,Home Office,Milwaukee,Wisconsin,Central,Office Supplies,Paper,179.82,9,0.0,84.52,WI,Profit
Second Class,Home Office,Milwaukee,Wisconsin,Central,Furniture,Furnishings,185.58,6,0.0,76.09,WI,Profit
Second Class,Home Office,Milwaukee,Wisconsin,Central,Furniture,Tables,214.11,3,0.0,36.4,WI,Profit
Second Class,Home Office,Milwaukee,Wisconsin,Central,Technology,Accessories,999.96,4,0.0,229.99,WI,Profit
Second Class,Home Office,Milwaukee,Wisconsin,Central,Furniture,Tables,653.55,3,0.0,111.1,WI,Profit
Standard Class,Home Office,Franklin,Massachusetts,East,Office Supplies,Binders,114.6,5,0.0,51.57,MA,Profit
Standard Class,Home Office,Franklin,Massachusetts,East,Furniture,Chairs,60.74,1,0.0,15.18,MA,Profit
Standard Class,Home Office,Franklin,Massachusetts,East,Furniture,Furnishings,124.36,2,0.0,27.36,MA,Profit
Standard Class,Home Office,Franklin,Massachusetts,East,Office Supplies,Storage,1088.76,6,0.0,315.74,MA,Profit
First Class,Consumer,Encinitas,California,West,Office Supplies,Binders,6.72,5,0.2,2.35,CA,Profit
First Class,Consumer,Encinitas,California,West,Furniture,Tables,298.78,3,0.2,7.47,CA,Profit
Standard Class,Consumer,Anaheim,California,West,Technology,Phones,302.38,3,0.2,22.68,CA,Profit
First Class,Consumer,Arlington,Texas,Central,Office Supplies,Art,8.93,2,0.2,0.56,TX,Profit
First Class,Consumer,Arlington,Texas,Central,Office Supplies,Storage,47.58,2,0.2,-2.97,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,33.79,8,0.2,10.56,TX,Profit
Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,300.53,2,0.32,-97.23,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Binders,2.72,2,0.8,-4.36,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,3.26,2,0.2,1.1,TX,Profit
First Class,Consumer,Lancaster,Ohio,East,Office Supplies,Paper,108.34,6,0.2,37.92,OH,Profit
First Class,Consumer,Lancaster,Ohio,East,Office Supplies,Storage,55.92,5,0.2,6.29,OH,Profit
First Class,Consumer,Lancaster,Ohio,East,Office Supplies,Paper,78.3,2,0.2,29.36,OH,Profit
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Storage,443.92,5,0.2,-94.33,OR,Loss
Standard Class,Consumer,Portland,Oregon,West,Technology,Phones,155.98,3,0.2,54.59,OR,Profit
Second Class,Corporate,Hoover,Alabama,South,Office Supplies,Art,15.47,7,0.0,4.18,AL,Profit
Second Class,Corporate,Hoover,Alabama,South,Office Supplies,Binders,7.16,2,0.0,3.44,AL,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,10.89,1,0.0,2.83,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.44,3,0.0,9.33,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,121.6,5,0.2,39.52,CA,Profit
First Class,Consumer,Tallahassee,Florida,South,Technology,Machines,695.7,2,0.5,-27.83,FL,Loss
Second Class,Corporate,New York City,New York,East,Office Supplies,Storage,120.33,1,0.0,31.29,NY,Profit
Standard Class,Home Office,Chesapeake,Virginia,South,Furniture,Chairs,1139.92,4,0.0,284.98,VA,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Office Supplies,Paper,229.54,7,0.2,83.21,NC,Profit
Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Storage,143.73,2,0.2,-32.34,TX,Loss
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,36.05,3,0.2,-0.9,PA,Loss
Standard Class,Corporate,Woodstock,Illinois,Central,Furniture,Chairs,845.49,8,0.3,-12.08,IL,Loss
First Class,Consumer,Everett,Massachusetts,East,Office Supplies,Art,50.94,3,0.0,14.26,MA,Profit
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,762.59,3,0.8,-1143.89,IL,Loss
Standard Class,Corporate,Roswell,Georgia,South,Furniture,Furnishings,56.28,6,0.0,15.76,GA,Profit
Standard Class,Corporate,Roswell,Georgia,South,Office Supplies,Binders,2690.97,3,0.0,1264.76,GA,Profit
Standard Class,Corporate,Palm Coast,Florida,South,Office Supplies,Binders,7.43,6,0.7,-5.7,FL,Loss
First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,64.78,1,0.2,-12.96,PA,Loss
Standard Class,Home Office,Columbus,Indiana,Central,Office Supplies,Paper,28.16,4,0.0,13.24,IN,Profit
Second Class,Consumer,Oceanside,New York,East,Furniture,Furnishings,14.98,1,0.0,6.89,NY,Profit
Second Class,Consumer,Oceanside,New York,East,Furniture,Furnishings,20.32,4,0.0,6.91,NY,Profit
Same Day,Corporate,Franklin,Massachusetts,East,Office Supplies,Storage,40.29,3,0.0,10.48,MA,Profit
Standard Class,Consumer,Sioux Falls,South Dakota,Central,Office Supplies,Labels,20.23,7,0.0,9.51,SD,Profit
First Class,Corporate,San Diego,California,West,Furniture,Chairs,1603.14,4,0.2,100.2,CA,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Furniture,Chairs,225.3,2,0.2,22.53,NC,Profit
Standard Class,Consumer,Atlanta,Georgia,South,Technology,Accessories,67.8,4,0.0,4.07,GA,Profit
Standard Class,Consumer,Atlanta,Georgia,South,Technology,Phones,377.97,3,0.0,98.27,GA,Profit
Standard Class,Consumer,Atlanta,Georgia,South,Furniture,Bookcases,1628.82,9,0.0,374.63,GA,Profit
Standard Class,Consumer,Atlanta,Georgia,South,Office Supplies,Paper,286.93,7,0.0,140.6,GA,Profit
Standard Class,Consumer,Orlando,Florida,South,Office Supplies,Paper,20.74,4,0.2,7.26,FL,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Storage,31.44,3,0.0,8.49,CA,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Appliances,83.79,7,0.0,22.62,CA,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Art,59.52,3,0.0,15.48,CA,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Supplies,31.92,4,0.0,9.26,CA,Profit
Second Class,Consumer,Toledo,Ohio,East,Office Supplies,Supplies,14.72,5,0.2,-3.31,OH,Loss
Second Class,Consumer,Toledo,Ohio,East,Office Supplies,Storage,38.98,3,0.2,-2.44,OH,Loss
Standard Class,Consumer,Saint Petersburg,Florida,South,Furniture,Furnishings,17.09,2,0.2,1.07,FL,Profit
Standard Class,Corporate,Tucson,Arizona,West,Office Supplies,Paper,74.35,3,0.2,23.24,AZ,Profit
Standard Class,Corporate,Tucson,Arizona,West,Furniture,Chairs,314.35,3,0.2,-35.36,AZ,Loss
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,4.26,1,0.0,1.75,CA,Profit
Standard Class,Consumer,San Diego,California,West,Office Supplies,Storage,811.28,8,0.0,24.34,CA,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Fasteners,6.03,3,0.0,2.95,NY,Profit
Second Class,Consumer,San Diego,California,West,Furniture,Chairs,153.57,2,0.2,-5.76,CA,Loss
Second Class,Consumer,San Diego,California,West,Furniture,Chairs,1013.49,7,0.2,76.01,CA,Profit
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Envelopes,52.34,2,0.0,24.6,NJ,Profit
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Art,4.66,2,0.0,1.35,NJ,Profit
Standard Class,Home Office,Westfield,New Jersey,East,Technology,Accessories,254.97,3,0.0,91.79,NJ,Profit
Second Class,Home Office,Orange,New Jersey,East,Office Supplies,Binders,25.44,6,0.0,12.72,NJ,Profit
Second Class,Home Office,Orange,New Jersey,East,Office Supplies,Supplies,27.93,3,0.0,8.1,NJ,Profit
Standard Class,Consumer,Woodstock,Illinois,Central,Office Supplies,Binders,8.85,5,0.8,-13.72,IL,Loss
Second Class,Consumer,San Francisco,California,West,Furniture,Furnishings,6.96,4,0.0,2.23,CA,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,17.46,2,0.2,5.89,CA,Profit
Standard Class,Consumer,Tempe,Arizona,West,Furniture,Chairs,307.92,5,0.2,-34.64,AZ,Loss
First Class,Consumer,Los Angeles,California,West,Office Supplies,Art,6.63,3,0.0,1.79,CA,Profit
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,12.96,2,0.0,6.22,CA,Profit
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,32.4,5,0.0,15.55,CA,Profit
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,23.85,5,0.0,10.73,WA,Profit
Second Class,Consumer,Lake Charles,Louisiana,South,Furniture,Chairs,51.96,2,0.0,12.99,LA,Profit
Second Class,Consumer,Lake Charles,Louisiana,South,Office Supplies,Binders,17.94,3,0.0,8.61,LA,Profit
Standard Class,Corporate,Rochester,New York,East,Office Supplies,Paper,11.56,2,0.0,5.66,NY,Profit
Standard Class,Corporate,Rochester,New York,East,Office Supplies,Paper,26.4,5,0.0,11.88,NY,Profit
Standard Class,Corporate,Rochester,New York,East,Furniture,Furnishings,69.08,11,0.0,29.01,NY,Profit
Standard Class,Corporate,Rochester,New York,East,Technology,Phones,35.88,3,0.0,10.05,NY,Profit
Standard Class,Consumer,Long Beach,New York,East,Office Supplies,Art,49.65,5,0.0,20.85,NY,Profit
Standard Class,Corporate,Charlotte,North Carolina,South,Technology,Copiers,959.97,4,0.2,120.0,NC,Profit
Standard Class,Consumer,Houston,Texas,Central,Furniture,Chairs,408.42,2,0.3,-5.83,TX,Loss
Standard Class,Consumer,New York City,New York,East,Technology,Copiers,479.98,2,0.2,60.0,NY,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,12.6,4,0.0,6.05,NY,Profit
Standard Class,Home Office,Columbus,Georgia,South,Office Supplies,Paper,184.66,7,0.0,84.94,GA,Profit
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,23.12,5,0.2,8.38,IL,Profit
Standard Class,Corporate,Highland Park,Illinois,Central,Office Supplies,Paper,37.46,7,0.2,12.18,IL,Profit
Standard Class,Corporate,Highland Park,Illinois,Central,Furniture,Chairs,539.66,3,0.3,-7.71,IL,Loss
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Storage,310.12,2,0.0,80.63,WA,Profit
Standard Class,Consumer,Eagan,Minnesota,Central,Office Supplies,Paper,8.56,2,0.0,3.85,MN,Profit
Standard Class,Consumer,Eagan,Minnesota,Central,Office Supplies,Storage,52.4,5,0.0,14.15,MN,Profit
Standard Class,Consumer,Eagan,Minnesota,Central,Office Supplies,Labels,14.94,3,0.0,6.87,MN,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Fasteners,11.22,3,0.0,0.22,WA,Profit
Standard Class,Consumer,Coral Springs,Florida,South,Office Supplies,Appliances,387.14,4,0.2,24.2,FL,Profit
Standard Class,Consumer,Hempstead,New York,East,Office Supplies,Envelopes,41.4,5,0.0,19.46,NY,Profit
Standard Class,Consumer,Hempstead,New York,East,Office Supplies,Art,35.0,4,0.0,10.5,NY,Profit
Standard Class,Consumer,Hempstead,New York,East,Office Supplies,Binders,39.55,3,0.2,14.34,NY,Profit
Second Class,Consumer,Noblesville,Indiana,Central,Technology,Phones,135.72,3,0.0,35.29,IN,Profit
Second Class,Consumer,Noblesville,Indiana,Central,Office Supplies,Binders,12.56,2,0.0,5.65,IN,Profit
Second Class,Consumer,Noblesville,Indiana,Central,Technology,Phones,263.96,4,0.0,71.27,IN,Profit
First Class,Consumer,Dallas,Texas,Central,Office Supplies,Art,5.95,1,0.2,0.37,TX,Profit
Same Day,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,15.8,5,0.2,2.37,PA,Profit
Same Day,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,14.37,2,0.2,3.95,PA,Profit
Same Day,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,70.45,7,0.2,12.33,PA,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Storage,129.3,2,0.0,6.46,CA,Profit
Second Class,Home Office,Austin,Texas,Central,Office Supplies,Binders,3.88,3,0.8,-5.82,TX,Loss
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Fasteners,6.08,1,0.0,3.04,MI,Profit
First Class,Consumer,Watertown,New York,East,Office Supplies,Appliances,19.9,1,0.0,8.96,NY,Profit
First Class,Consumer,Watertown,New York,East,Furniture,Furnishings,70.71,1,0.0,4.95,NY,Profit
Second Class,Consumer,Columbus,Georgia,South,Furniture,Furnishings,18.84,3,0.0,7.91,GA,Profit
Standard Class,Consumer,Apple Valley,Minnesota,Central,Office Supplies,Art,8.64,3,0.0,2.51,MN,Profit
Standard Class,Home Office,Burlington,North Carolina,South,Office Supplies,Binders,1633.19,4,0.7,-1306.55,NC,Loss
Standard Class,Home Office,Saginaw,Michigan,Central,Furniture,Furnishings,19.76,4,0.0,8.3,MI,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Binders,6.61,2,0.2,2.23,CA,Profit
Same Day,Consumer,San Francisco,California,West,Office Supplies,Binders,7.28,2,0.2,2.73,CA,Profit
Same Day,Consumer,San Francisco,California,West,Furniture,Chairs,144.78,1,0.2,10.86,CA,Profit
Standard Class,Consumer,Seattle,Washington,West,Technology,Phones,156.79,1,0.2,13.72,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Technology,Phones,431.98,3,0.2,27.0,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Envelopes,35.89,1,0.0,16.15,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,47.21,7,0.2,15.34,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,248.08,7,0.0,116.6,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,189.7,5,0.0,89.16,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,59.81,3,0.2,19.44,WA,Profit
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Furniture,Chairs,90.99,1,0.0,14.56,WI,Profit
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Furniture,Chairs,1526.56,7,0.0,427.44,WI,Profit
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Furniture,Chairs,368.97,3,0.0,40.59,WI,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,305.01,9,0.0,76.25,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,18.7,1,0.0,7.11,CA,Profit
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,38.29,7,0.0,16.46,CA,Profit
Standard Class,Home Office,San Diego,California,West,Furniture,Furnishings,26.25,3,0.0,11.02,CA,Profit
Standard Class,Home Office,San Diego,California,West,Office Supplies,Binders,64.96,14,0.2,22.74,CA,Profit
Standard Class,Home Office,San Diego,California,West,Office Supplies,Envelopes,43.7,5,0.0,20.54,CA,Profit
Same Day,Home Office,Glendale,Arizona,West,Technology,Accessories,41.6,4,0.2,13.0,AZ,Profit
Same Day,Home Office,Glendale,Arizona,West,Office Supplies,Paper,23.12,5,0.2,8.38,AZ,Profit
Same Day,Home Office,Glendale,Arizona,West,Furniture,Chairs,113.89,2,0.2,9.97,AZ,Profit
Same Day,Home Office,Glendale,Arizona,West,Furniture,Furnishings,113.57,2,0.2,-5.68,AZ,Loss
Same Day,Home Office,Glendale,Arizona,West,Technology,Phones,7.92,2,0.2,0.69,AZ,Profit
Same Day,Home Office,Glendale,Arizona,West,Technology,Phones,671.98,2,0.2,50.4,AZ,Profit
Standard Class,Corporate,New York City,New York,East,Technology,Phones,39.99,1,0.0,11.6,NY,Profit
Standard Class,Home Office,Watertown,New York,East,Furniture,Chairs,191.65,3,0.1,31.94,NY,Profit
Standard Class,Consumer,Springfield,Ohio,East,Office Supplies,Binders,2.31,1,0.7,-1.93,OH,Loss
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,19.94,4,0.2,7.23,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Fasteners,45.92,4,0.0,21.58,CA,Profit
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Paper,20.34,3,0.0,9.36,WA,Profit
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Labels,39.28,8,0.0,19.25,WA,Profit
Second Class,Corporate,Oceanside,California,West,Furniture,Chairs,81.57,2,0.2,9.18,CA,Profit
Second Class,Corporate,Oceanside,California,West,Furniture,Chairs,97.18,2,0.2,6.07,CA,Profit
Second Class,Corporate,Oceanside,California,West,Office Supplies,Binders,24.32,5,0.2,8.21,CA,Profit
Second Class,Corporate,Oceanside,California,West,Furniture,Furnishings,18.96,2,0.0,7.58,CA,Profit
Standard Class,Consumer,Skokie,Illinois,Central,Furniture,Furnishings,32.95,6,0.6,-19.77,IL,Loss
Standard Class,Consumer,Skokie,Illinois,Central,Office Supplies,Storage,30.02,4,0.2,3.0,IL,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Office Supplies,Appliances,499.58,3,0.2,43.71,NC,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Office Supplies,Paper,31.1,6,0.2,10.89,NC,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Office Supplies,Binders,13.27,8,0.7,-10.62,NC,Loss
Second Class,Consumer,Fayetteville,North Carolina,South,Furniture,Furnishings,28.27,2,0.2,6.36,NC,Profit
Second Class,Consumer,Fayetteville,North Carolina,South,Office Supplies,Storage,259.14,4,0.2,-51.83,NC,Loss
Standard Class,Consumer,Tulsa,Oklahoma,Central,Office Supplies,Binders,10.8,5,0.0,5.18,OK,Profit
Standard Class,Consumer,Allen,Texas,Central,Furniture,Tables,244.01,2,0.3,-31.37,TX,Loss
Standard Class,Consumer,Allen,Texas,Central,Office Supplies,Paper,15.94,4,0.2,5.38,TX,Profit
Same Day,Corporate,Philadelphia,Pennsylvania,East,Furniture,Chairs,188.55,7,0.3,-2.69,PA,Loss
Second Class,Consumer,Rochester,New York,East,Office Supplies,Storage,22.58,2,0.0,5.87,NY,Profit
Second Class,Consumer,Mount Pleasant,South Carolina,South,Furniture,Chairs,545.94,6,0.0,87.35,SC,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,43.3,2,0.2,4.33,PA,Profit
Standard Class,Consumer,Seattle,Washington,West,Furniture,Chairs,123.14,4,0.2,13.85,WA,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,11.26,4,0.2,3.8,WA,Profit
Second Class,Consumer,Springfield,Oregon,West,Office Supplies,Storage,53.42,3,0.2,4.67,OR,Profit
Second Class,Consumer,Springfield,Oregon,West,Furniture,Tables,275.49,1,0.5,-170.8,OR,Loss
Standard Class,Home Office,Columbus,Georgia,South,Furniture,Furnishings,24.96,4,0.0,6.24,GA,Profit
Standard Class,Home Office,Columbus,Georgia,South,Office Supplies,Paper,19.36,2,0.0,9.29,GA,Profit
Standard Class,Home Office,Columbus,Georgia,South,Office Supplies,Storage,1267.65,9,0.0,152.12,GA,Profit
Second Class,Corporate,Los Angeles,California,West,Technology,Accessories,12.99,1,0.0,0.78,CA,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,18.56,4,0.2,6.5,CA,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,449.15,5,0.0,8.98,CA,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,31.25,7,0.2,10.94,CA,Profit
Standard Class,Corporate,New York City,New York,East,Office Supplies,Appliances,61.44,3,0.0,16.59,NY,Profit
Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Binders,895.92,4,0.0,421.08,MI,Profit
Second Class,Consumer,Stockton,California,West,Office Supplies,Binders,55.36,4,0.2,18.68,CA,Profit
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,55.92,5,0.2,6.29,AZ,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,24.9,4,0.2,8.4,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,3.98,1,0.2,0.65,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,95.97,4,0.2,28.79,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Machines,206.99,3,0.7,-172.49,PA,Loss
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,44.42,2,0.2,3.89,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.01,2,0.7,-7.2,PA,Loss
Standard Class,Home Office,Sterling Heights,Michigan,Central,Office Supplies,Binders,19.0,5,0.0,8.93,MI,Profit
Standard Class,Home Office,Rochester,New York,East,Office Supplies,Binders,33.38,4,0.2,10.43,NY,Profit
First Class,Home Office,New York City,New York,East,Office Supplies,Appliances,207.48,1,0.0,62.24,NY,Profit
Standard Class,Home Office,Eau Claire,Wisconsin,Central,Office Supplies,Binders,91.68,3,0.0,45.84,WI,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Appliances,904.9,5,0.0,253.37,NY,Profit
Standard Class,Consumer,Rancho Cucamonga,California,West,Office Supplies,Binders,34.27,3,0.2,11.14,CA,Profit
First Class,Consumer,Murray,Kentucky,South,Furniture,Furnishings,191.82,3,0.0,74.81,KY,Profit
Standard Class,Corporate,Toledo,Ohio,East,Office Supplies,Appliances,243.88,5,0.2,27.44,OH,Profit
Standard Class,Home Office,Louisville,Colorado,West,Office Supplies,Binders,12.03,5,0.7,-9.22,CO,Loss
Standard Class,Home Office,Louisville,Colorado,West,Technology,Machines,2549.98,5,0.7,-3399.98,CO,Loss
Standard Class,Home Office,Louisville,Colorado,West,Office Supplies,Binders,21.59,2,0.7,-15.84,CO,Loss
Standard Class,Home Office,Louisville,Colorado,West,Office Supplies,Binders,8.96,6,0.7,-6.57,CO,Loss
Standard Class,Home Office,Louisville,Colorado,West,Office Supplies,Paper,20.74,4,0.2,7.26,CO,Profit
Standard Class,Home Office,New York City,New York,East,Furniture,Tables,344.22,2,0.4,-103.27,NY,Loss
Standard Class,Home Office,Pharr,Texas,Central,Office Supplies,Storage,727.3,8,0.2,-172.73,TX,Loss
Standard Class,Home Office,Pharr,Texas,Central,Furniture,Furnishings,22.61,3,0.6,-10.17,TX,Loss
Standard Class,Home Office,Pharr,Texas,Central,Technology,Accessories,666.4,7,0.2,-33.32,TX,Loss
Standard Class,Consumer,West Jordan,Utah,West,Office Supplies,Fasteners,5.04,3,0.0,0.2,UT,Profit
Standard Class,Consumer,West Jordan,Utah,West,Office Supplies,Paper,92.94,3,0.0,41.82,UT,Profit
Standard Class,Consumer,West Jordan,Utah,West,Furniture,Furnishings,66.69,3,0.0,22.01,UT,Profit
Standard Class,Consumer,West Jordan,Utah,West,Office Supplies,Binders,91.68,5,0.2,28.65,UT,Profit
Standard Class,Consumer,Brownsville,Texas,Central,Furniture,Bookcases,327.73,2,0.32,-14.46,TX,Loss
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,52.27,11,0.2,17.64,NY,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,17.94,3,0.0,8.07,NY,Profit
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,254.35,3,0.2,0.0,PA,Profit
Same Day,Corporate,Billings,Montana,West,Office Supplies,Binders,8.29,2,0.2,2.69,MT,Profit
Standard Class,Consumer,Chesapeake,Virginia,South,Furniture,Chairs,504.9,5,0.0,80.78,VA,Profit
Standard Class,Corporate,Gresham,Oregon,West,Technology,Phones,403.17,4,0.2,25.2,OR,Profit
Standard Class,Corporate,Lincoln Park,Michigan,Central,Furniture,Bookcases,194.32,4,0.0,31.09,MI,Profit
Standard Class,Corporate,Lincoln Park,Michigan,Central,Office Supplies,Art,25.99,1,0.0,7.54,MI,Profit
Standard Class,Consumer,Gresham,Oregon,West,Furniture,Chairs,195.14,4,0.2,-12.2,OR,Loss
Standard Class,Consumer,Monroe,Louisiana,South,Technology,Accessories,53.7,6,0.0,10.2,LA,Profit
Standard Class,Consumer,Monroe,Louisiana,South,Office Supplies,Binders,36.26,7,0.0,16.68,LA,Profit
Standard Class,Consumer,Monroe,Louisiana,South,Office Supplies,Art,56.3,2,0.0,15.76,LA,Profit
Standard Class,Consumer,Monroe,Louisiana,South,Office Supplies,Paper,32.4,5,0.0,15.55,LA,Profit
Standard Class,Consumer,Monroe,Louisiana,South,Furniture,Furnishings,29.16,2,0.0,10.79,LA,Profit
Standard Class,Corporate,Pasadena,California,West,Furniture,Tables,171.29,3,0.2,-6.42,CA,Loss
Standard Class,Consumer,Chattanooga,Tennessee,South,Furniture,Furnishings,16.72,5,0.2,3.34,TN,Profit
Same Day,Home Office,Long Beach,California,West,Office Supplies,Paper,12.96,2,0.0,6.22,CA,Profit
Same Day,Home Office,Long Beach,California,West,Office Supplies,Envelopes,22.18,2,0.0,10.87,CA,Profit
Same Day,Home Office,Long Beach,California,West,Furniture,Chairs,2054.27,8,0.2,256.78,CA,Profit
Second Class,Consumer,Troy,Ohio,East,Technology,Phones,1022.97,5,0.4,-255.74,OH,Loss
Second Class,Home Office,Minneapolis,Minnesota,Central,Office Supplies,Art,13.9,5,0.0,3.61,MN,Profit
Second Class,Home Office,Minneapolis,Minnesota,Central,Office Supplies,Paper,26.38,1,0.0,12.13,MN,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,43.18,7,0.2,13.49,WA,Profit
First Class,Home Office,Columbus,Georgia,South,Furniture,Tables,411.8,2,0.0,70.01,GA,Profit
First Class,Home Office,Columbus,Georgia,South,Technology,Accessories,360.0,4,0.0,129.6,GA,Profit
Standard Class,Home Office,Meridian,Idaho,West,Furniture,Furnishings,41.96,2,0.0,2.94,ID,Profit
Standard Class,Home Office,Meridian,Idaho,West,Office Supplies,Appliances,227.84,4,0.0,66.07,ID,Profit
Standard Class,Home Office,Meridian,Idaho,West,Office Supplies,Paper,37.94,2,0.0,18.21,ID,Profit
Second Class,Home Office,Detroit,Michigan,Central,Technology,Phones,517.9,2,0.0,134.65,MI,Profit
Second Class,Home Office,Detroit,Michigan,Central,Office Supplies,Binders,5.28,2,0.0,2.43,MI,Profit
Standard Class,Corporate,Chicago,Illinois,Central,Technology,Copiers,2799.96,5,0.2,874.99,IL,Profit
